Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4785875197,JFJ3534,NY,PAS,07/07/2022,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0824A,,BX,,,NB RIVERDALE AVE @ I,RWIN AVE,0,1180,B,T,,,,GY,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2006850180,KKJ8330,NY,PAS,07/08/2022,21,SUBN,JEEP,S,50930,38330,83730,20230404,73.0,73,0,596638,KN16,,0841A,00000,Kings,F,607,HOWARD AVENUE,,0,408,d1,,Y  Y,0800A,0930A,WH,,2021,,0,,No Parking Street Cleaning,,,
2006413417,HSZ7121,NY,PAS,07/18/2022,21,4DSD,CHRYS,S,0,0,0,0,63.0,63,0,589380,SI03,,1134A,00000,Kings,,,E/S of EAST 80 STREE,T 50' N/O SEAVIEW AV,0,408,d1,,Y,1100A,1230P,GY,,0,,0,,No Parking Street Cleaning,,,
1487927253,LSY2223,PA,PAS,07/06/2022,50,SUBN,JEEP,P,0,0,0,20220630,23.0,23,23,964313,0023,0.0,0915A,,NY,,,S/W C/O E 102 ST,LEXINGTON AVE,0,408,F1,,BBBBBBB,ALL,ALL,RD,0.0,2021,-,0,,,,,
2006808783,KVS4486,NY,PAS,07/18/2022,21,4DSD,BMW,S,0,0,0,0,63.0,63,0,667964,KS18,,0807A,00000,Kings,,,W/S of RALPH AVENUE,20' N/O AVENUE K,0,408,d1,,Y,0800A,0930A,GY,,0,,0,,No Parking Street Cleaning,,,
4024681370,GRV4446,NY,PAS,06/18/2022,5,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0650A,,QN,,,NB MAIN ST @ 39TH AV,E,0,1111,C,T,,,,GY,,2021,,0,,BUS LANE VIOLATION,,,
4786056595,KXG8682,NY,PAS,07/05/2022,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,0747A,,QN,,,WB N CONDUIT AVE @ S,PRINGFIELD BLVD,0,1180,B,T,,,,WH,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1488594788,HVL1284,NY,PAS,07/01/2022,14,,FORD,P,71550,11535,32600,20230924,68.0,68,68,968253,0068,0.0,0117A,,K,O,800,POLY PLACE,,0,408,F2,,BBBBBBB,0000A,0600A,WHITE,0.0,2013,-,0,,,,,
4784746328,HTA1894,NY,PAS,06/28/2022,36,4DSD,INFIN,V,0,0,0,0,,0,0,0,,,0512P,,BX,,,NB EDGEWATER RD @ SE,NECA AVE,0,1180,B,T,,,,BK,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785920154,J83NYC,NJ,PAS,07/07/2022,36,UT,BMW,V,0,0,0,0,,0,0,0,,,0123P,,ST,,,WB TRAVIS AVE @ DENK,ER PL,0,1180,B,T,,,,,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785739186,KNA6268,NY,PAS,07/06/2022,36,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0808A,,MN,,,NB LENOX AVE @ W 128,TH ST,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024965803,G22MBE,NJ,PAS,07/03/2022,5,SD,ME/BE,V,0,0,0,0,,0,0,0,,,1019A,,BX,,,NB WEBSTER AVE @ E 1,70TH ST,0,1111,C,T,,,,,,2015,,0,,BUS LANE VIOLATION,,,
4784777787,HHG6091,NY,PAS,06/28/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0929P,,QN,,,EB HORACE HARDING EX,PWY @ 108TH ST,0,1180,B,T,,,,GR,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784826324,JLM7735,NY,PAS,06/24/2022,36,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0755P,,QN,,,WB QUEENS BLVD @ 51S,T AVE,0,1180,B,T,,,,GY,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1487702358,KUW8071,NY,PAS,06/27/2022,40,SUBN,SUBAR,P,54090,12590,46190,20240306,104.0,104,104,967577,0104,0.0,0357A,,Q,F,6053,LINDEN STREET,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0.0,2012,-,0,,,,,
4784974155,KVP6224,NY,PAS,06/29/2022,36,4DSD,BMW,V,0,40404,40404,0,,0,0,0,,,0945P,,BK,,,SB OCEAN AVE @ AVE M,,0,1180,B,T,,,,WH,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786021982,JNR4311,NY,PAS,07/08/2022,36,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0948A,,BX,,,SB BRUCKNER BLVD @ H,OLLYWOOD AVE,0,1180,B,T,,,,RD,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024937236,KDE4961,NY,PAS,07/01/2022,5,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0143P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GY,,2011,,0,,BUS LANE VIOLATION,,,
4024727527,KYD3503,PA,PAS,06/20/2022,5,SW,CHEVR,V,0,0,0,0,,0,0,0,,,0523P,,MN,,,SB 2ND AVE @ E 85TH,ST,0,1111,C,T,,,,,,2008,,0,,BUS LANE VIOLATION,,,
4024550433,KVH5092,NY,PAS,06/11/2022,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0310P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,GY,,2019,,0,,BUS LANE VIOLATION,,,
1488793475,HZP9866,NY,PAS,06/11/2021,20,SUBN,TOYOT,K,13235,10990,11090,20240201,110.0,110,3,160282,0003,0.0,0427P,,Q,,,FLUSHING MEADOW PK,,0,408,E3,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
4784637989,KDB3448,NY,PAS,06/23/2022,36,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0654P,,QN,,,NB SPRINGFIELD BLVD,@ 133RD RD,0,1180,B,T,,,,GY,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785845399,GRG4110,NY,PAS,07/05/2022,36,SUBN,BUICK,V,0,0,0,0,,0,0,0,,,0931A,,QN,,,SB CROSS BAY BLVD @,159TH AVE,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2007094344,KUU5804,NY,PAS,07/21/2022,21,SUBN,TOYOT,S,48730,13430,55830,20240301,75.0,75,0,603728,KN05,,0926A,00000,Kings,O,247,HENDRIX STREET,,0,408,d1,,Y  Y,0900A,1030A,BK,,2001,,0,,No Parking Street Cleaning,,,
1485683282,KHV4134,NY,PAS,06/17/2022,40,P-U,BMW,O,26520,40404,40404,20230114,44.0,44,0,100124,BCHJ,0.0,0945A,,BX,F,201,E 162 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0.0,2017,-,0,,,,,
4785996055,KRA5487,NY,PAS,07/08/2022,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0630A,,BK,,,EB ATLANTIC AVE @ RA,LPH AVE,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1487604853,IXF264,IA,PAS,06/18/2022,98,SDN,CHEVR,P,58310,13740,13940,0,104.0,104,104,962493,0104,0.0,1001A,,Q,F,65-46,OTTO ROAD,,0,408,F2,,BBBBBBB,ALL,ALL,GREY,0.0,0,-,0,,,,,
4024577086,GLY4345,NY,PAS,06/13/2022,5,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,1053A,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,GY,,2010,,0,,BUS LANE VIOLATION,,,
4785764764,HNP6601,NY,PAS,07/06/2022,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1120A,,QN,,,WB LINDEN BLVD @ 231,ST ST,0,1180,B,T,,,,GY,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784911560,KER2499,NY,PAS,06/29/2022,36,2DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0120P,,ST,,,NB WILLOW RD E @ FOR,EST AVE,0,1180,B,T,,,,WH,,1999,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786112197,HPN8867,NY,PAS,07/05/2022,36,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0921P,,ST,,,WB GOETHALS RD N @ J,ULES DR,0,1180,B,T,,,,BK,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1430067895,G9868J,FL,PAS,07/02/2022,20,SDN,ME/BE,P,74120,40404,40404,0,44.0,44,163,934318,0163,0.0,0510P,,BX,F,953,W 162 ST,,0,408,E2,,BBBBBBB,ALL,ALL,GOLD,0.0,0,-,0,,,,,
2006728350,GCP7152,NY,PAS,07/13/2022,21,4DSD,HONDA,S,36820,75122,75125,20220924,50.0,50,0,587626,BX08,,0933A,00000,Bronx,O,3900,GREYSTONE AVENUE,,0,408,d1,,Y,0900A,1030A,BL,,0,,0,,No Parking Street Cleaning,,,
4785966798,JFA2395,NC,PAS,07/07/2022,36,4S,INFIN,V,0,0,0,0,,0,0,0,,,0635P,,QN,,,SB SPRINGFIELD BLVD,@ 143RD AVE,0,1180,B,T,,,,,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2006914753,KUU8477,NY,PAS,07/08/2022,21,4DSD,JAGUA,S,69720,58950,76950,20240131,40.0,40,0,667931,BX01,,0949A,00000,Bronx,F,620,TRINITY AVENUE,,0,408,d1,,Y  Y,0930A,1100A,BK,,2010,,0,,No Parking Street Cleaning,,,
4784627698,KEH5754,NY,PAS,06/23/2022,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0310P,,BK,,,SB SHORE RD @ 97TH S,T,0,1180,B,T,,,,RD,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2006989376,KSX6025,NY,PAS,07/21/2022,14,SUBN,FORD,S,27630,18630,18950,20231110,90.0,90,0,0,KN01,,1147A,00000,Kings,F,185,CLYMER STREET,,0,408,c,,,,,BK,,2021,,0,,No Standing,,,
4784651524,LXC7795,PA,PAS,06/27/2022,36,SW,DODGE,V,0,0,0,0,,0,0,0,,,0617P,,BK,,,WB EASTERN PKWY @ TR,OY AVE,0,1180,B,T,,,,,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784851409,KNU2952,NY,PAS,06/28/2022,36,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0804P,,BK,,,EB ATLANTIC AVE @ CL,ASSON AVE,0,1180,B,T,,,,WH,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024616675,KVM6716,NY,PAS,06/15/2022,5,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0409P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,WH,,2022,,0,,BUS LANE VIOLATION,,,
4786136591,HWM5618,NY,PAS,07/06/2022,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0252P,,BX,,,SB BOSTON RD @ FISH,AVE,0,1180,B,T,,,,RD,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786028447,GXW9292,NY,PAS,07/08/2022,36,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,1035A,,ST,,,WB VICTORY BLVD @ AL,BERTA AVE,0,1180,B,T,,,,RD,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785742290,GMZ5109,NY,PAS,07/06/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0835A,,BX,,,WB BRUCKNER BLVD @ F,TELEY AVE,0,1180,B,T,,,,WH,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785908040,KTL2995,NY,PAS,07/07/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,1205P,,BK,,,SB REMSEN AVE @ STIL,LWELL PL,0,1180,B,T,,,,GY,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784703100,JJK9050,NY,PAS,06/28/2022,36,2DSD,DODGE,V,0,0,0,0,,0,0,0,,,1221P,,BK,,,EB EASTERN PKWY @ BU,FFALO AVE,0,1180,B,T,,,,BK,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784792170,KBT9982,NY,OMS,06/24/2022,36,SUBN,CHRYS,V,0,0,0,0,,0,0,0,,,0912A,,MN,,,SB WEST ST @ LEROY S,T,0,1180,B,T,,,,WH,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785737608,KTR9124,PA,PAS,07/06/2022,36,SW,TOYOT,V,0,0,0,0,,0,0,0,,,0755A,,BX,,,WB BRUCKNER BLVD @ F,TELEY AVE,0,1180,B,T,,,,,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2006796598,KXN5842,NY,PAS,07/12/2022,21,PICK,CHEVR,S,59990,11840,18240,20240630,110.0,110,0,698029,QW04,,0739A,00000,Qns,F,89-55,QUEENS BOULEVARD,,0,408,d1,,YYYYYY,0730A,0800A,GY,,2016,,0,,No Parking Street Cleaning,,,
2006848800,JJA9956,NY,PAS,07/07/2022,21,SUBN,NISSA,S,28830,22330,67047,20230713,60.0,60,0,956101,KS13,,0818A,00000,Kings,F,3170,CONEY ISLAND AVENUE,,0,408,d1,,YYYYYY,0800A,0830A,GY,,2022,,0,,No Parking Street Cleaning,,,
2006712603,KME4089,NY,PAS,07/08/2022,21,SUBN,SUBAR,S,45720,12120,33520,20230322,41.0,41,0,0,BX02,,1223P,00000,Bronx,O,986,LEGGETT AVENUE,,0,408,d1,,Y  Y,1130A,0100P,GY,,2010,,0,,No Parking Street Cleaning,,,
2005931240,HRZ5737,NY,PAS,07/19/2022,51,SUBN,TOYOT,S,51090,56490,53490,20230706,102.0,102,0,0,QW09,,1233P,00000,Qns,O,118-16,JAMAICA AVENUE,,0,408,e3,,,,,GY,,1997,,0,,Sidewalk,,,
4784754106,KWT9214,NY,PAS,06/28/2022,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0610P,,BX,,,SB BRUCKNER BLVD @ E,149TH ST,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785700385,KFR9313,NY,PAS,07/01/2022,36,SUBN,VOLKS,V,0,0,0,0,,0,0,0,,,0630A,,BK,,,EB ATLANTIC AVE @ PL,EASANT PL,0,1180,B,T,,,,GY,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024943870,KMC3793,NY,PAS,07/01/2022,5,4DSD,LEXUS,V,0,50750,0,0,,0,0,0,,,0504P,,QN,,,SB WOODHAVEN BLVD @,METROPOLITAN AVE,0,1111,C,T,,,,WH,,2018,,0,,BUS LANE VIOLATION,,,
4785842386,HMN9645,NY,PAS,07/05/2022,36,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0815A,,BK,,,SB KINGS HWY @ E 49T,H ST,0,1180,B,T,,,,BL,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786100638,KLH7009,NY,PAS,07/05/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0553P,,BK,,,WB N. CONDUIT BLVD @,76TH ST,0,1180,B,T,,,,WH,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785761532,KWS9096,NY,PAS,07/06/2022,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,1059A,,BX,,,WB BRUCKNER BLVD @ B,ROOK AVE,0,1180,B,T,,,,BK,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784691480,KLZ6223,NY,PAS,06/28/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,1103A,,QN,,,SB KISSENA BLVD @ QU,EENS COLLEGE ENTRANC,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785144361,HEF8173,NY,PAS,06/30/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,1148A,,QN,,,SB QUEENS BLVD @ 77T,H AVE,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786052474,HXK1774,NY,PAS,07/01/2022,36,PICK,HONDA,V,0,0,0,0,,0,0,0,,,0608P,,BK,,,SB STILLWELL AVE @ W,15TH PL,0,1180,B,T,,,,BK,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785224770,GKV2423,NY,PAS,06/30/2022,36,4DSD,CADIL,V,0,40404,40404,0,,0,0,0,,,0739P,,ST,,,SB BAY ST @ SWAN ST,,0,1180,B,T,,,,WH,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785963979,KDW8547,NY,PAS,07/07/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0611P,,BX,,,EB E TREMONT AVE @ B,LONDELL AVE,0,1180,B,T,,,,BK,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784826816,JMS8502,NY,PAS,06/24/2022,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0802P,,QN,,,SB FRANCIS LEWIS BLV,D @ 17TH RD,0,1180,B,T,,,,RD,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786020461,JKW3514,NY,PAS,07/08/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0937A,,QN,,,NB FARMERS BLVD @ 17,6TH ST,0,1180,B,T,,,,GY,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784762838,KGW7271,NY,PAS,06/28/2022,36,PICK,RAM,V,0,0,0,0,,0,0,0,,,0717P,,QN,,,WB BEACH CHANNEL DR,@ ROCKAWAY FWY,0,1180,B,T,,,,WH,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2007003170,KSX2477,NY,PAS,07/19/2022,21,SUBN,CHEVR,S,31290,36830,19990,20231028,26.0,26,0,584090,MN08,,0923A,00000,NY,F,80,ST NICHOLAS PLACE,,0,408,d1,,Y  Y,0900A,1030A,WH,,2017,,0,,No Parking Street Cleaning,,,
1462160037,H99CZE,NJ,PAS,06/05/2022,10,SUBN,FORD,P,0,40404,40404,0,6.0,6,1,160156,0001,0.0,0221P,,NY,O,53,WASHINGTON SQUARE PA,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
2006898966,KKN6959,NY,PAS,07/19/2022,40,4DSD,ACURA,S,70620,74840,67220,0,50.0,50,0,540113,BX08,,0714A,00000,Bronx,F,2761,UNIVERSITY AVENUE,,0,408,e2,,,,,GY,,2007,,0,,Fire Hydrant,,,
4784986364,M70JTN,NJ,PAS,06/24/2022,36,UT,VOLKS,V,0,0,0,0,,0,0,0,,,0708A,,MN,,,NB AMSTERDAM AVE @ W,102ND ST,0,1180,B,T,,,,,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2006386426,JCP5657,NY,PAS,07/02/2022,21,4DSD,NISSA,S,51090,24590,24690,0,103.0,103,0,0,QE12,,0344A,00000,Qns,F,170-12,JAMAICA AVENUE,,0,408,d1,,Y,0300A,0600A,OR,,0,,0,,No Parking Street Cleaning,,,
1485803974,KRK9757,NY,PAS,06/19/2022,20,VAN,HONDA,P,29150,31420,52875,20230721,121.0,121,121,958210,0121,0.0,1003A,,R,F,1351,FOREST AVE,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0.0,2003,-,0,,,,,
4786168830,GFL3014,NY,PAS,07/06/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0638P,,ST,,,EB ROCKLAND AVE @ BO,RMAN AVE,0,1180,B,T,,,,GY,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785683247,KNJ8885,NY,PAS,06/30/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0413P,,QN,,,WB N CONDUIT AVE @ S,PRINGFIELD BLVD,0,1180,B,T,,,,GY,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024616043,KWR3883,NY,PAS,06/15/2022,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0354P,,BX,,,EB E 163RD ST @ SIMP,SON ST,0,1111,C,T,,,,GY,,2011,,0,,BUS LANE VIOLATION,,,
4784857497,KGA7284,NY,PAS,06/29/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0637A,,BK,,,WB LINDEN BLVD @ ROC,KAWAY AVE,0,1180,B,T,,,,GY,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784703950,HWW9339,NY,OMS,06/28/2022,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1226P,,QN,,,EB HILLSIDE AVE @ KE,W GARDENS RD,0,1180,B,T,,,,BK,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784957194,JHM4067,NY,PAS,06/29/2022,36,4DSD,MAZDA,V,0,0,0,0,,0,0,0,,,0704P,,QN,,,NB UTOPIA PKWY @ 17T,H AVE,0,1180,B,T,,,,GY,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786069218,KTF9632,NY,PAS,07/06/2022,36,PICK,FORD,V,0,0,0,0,,0,0,0,,,1116A,,QN,,,WB MTROPLTN AV. 60 P,L- NURGE AV,0,1180,B,T,,,,GY,,2001,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4024549224,JPG7677,NY,PAS,06/11/2022,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0138P,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,BL,,2022,,0,,BUS LANE VIOLATION,,,
4784923962,HRS5028,NY,PAS,06/29/2022,36,PICK,RAM,V,0,0,0,0,,0,0,0,,,0247P,,QN,,,EB NORTHERN BLVD @ 4,1ST ST,0,1180,B,T,,,,WH,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1483067993,HMT2636,NY,PAS,06/26/2022,40,SDN,NISSA,P,35130,19630,13830,20221124,66.0,66,66,968327,0066,0.0,1037P,,K,F,334,EAST 8 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0.0,2016,-,0,,,,,
4785957931,HLC3507,NY,PAS,07/07/2022,36,SUBN,LEXUS,V,0,0,0,0,,0,0,0,,,0530P,,QN,,,WB SKILLMAN AVE @ 27,TH ST,0,1180,B,T,,,,GY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784885067,KUP8400,NY,PAS,06/29/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,1015A,,QN,,,WB LINDEN BLVD @ AMB,ER ST,0,1180,B,T,,,,GY,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2000681244,JPK3212,NY,PAS,07/08/2022,21,SUBN,BMW,S,13610,34870,34890,20240219,19.0,19,0,687632,MN05,,0342A,00000,NY,F,1745,BROADWAY,,0,408,d1,,Y Y Y,0300A,0600A,GY,,2020,,0,,No Parking Street Cleaning,,,
4786154519,JKX6510,NY,PAS,07/06/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0453P,,BK,,,WB LINDEN BLVD @ LIN,COLN AVE,0,1180,B,T,,,,WH,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784970370,HJP4037,NY,PAS,06/29/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0857P,,QN,,,SB DITMARS BLVD @ 31,ST DR,0,1180,B,T,,,,GY,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4784805345,KVG1979,NY,PAS,06/24/2022,36,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0151P,,QN,,,EB 137TH AVE @ 167TH,ST,0,1180,B,T,,,,RD,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
